매장명,지역,주소,위도,경도
강남고속버스터미널2호점,서울,서울특별시 서초구 신반포로 194 (반포동) 1층1층,37.5064357442307,127.006834366246
강남역점,서울,서울특별시 강남구 강남대로 422 (역삼동) B3~B1층,37.5003941401087,127.026984908497
이스트폴구의점,서울,서울특별시 광진구 아차산로 402 (자양동) B1층,37.5366104651759,127.087852468702
수유시장2호점,서울,서울특별시 강북구 도봉로67길 18 (수유동) B1~1층,37.6307289053601,127.022668132796
노량진점,서울,서울특별시 동작구 만양로 105 (노량진동) 2층,37.5128549427149,126.944007081257
뚝섬역점,서울,서울특별시 성동구 아차산로 6 (성수동1가) B1층,37.5476939315842,127.04512444582
명동역점,서울,서울특별시 중구 퇴계로 134-1(남산동3가) B1~12층,37.5607463660316,126.986743744821
서울역점,서울,서울특별시 중구 한강대로 405(봉래동2가) 1층,37.5547278494914,126.969526329341
연희동점,서울,서울특별시 서대문구 연희로 83(연희동) 1~2층,37.5658134361358,126.929783976193
수유본점,서울,서울특별시 강북구 도봉로 342 (번동) B1층,37.6380345518337,127.026128675843
평택중앙로점,경기,경기도 평택시 중앙로 46 (평택동) 1~2층,36.9943184046358,127.087928882688
고양신원점,경기,경기도 고양시 덕양구 통일로 317 (신원동) 1~4층,37.663016678028,126.892389077774
송탄본점,경기,경기 평택시 경기대로 1636 1~3층,37.0903574409961,127.063421533524
스타필드부천점,경기,경기도 부천시 옥길로 1 (옥길동) 1층,37.4614756956083,126.813913375415
스타필드안성점,경기,경기도 안성시 공도읍 서동대로 3930-39 스타필드안성점2층,36.993937204568,127.147636510886
시흥정왕역점,경기,경기도 시흥시 역전로290번길 12 (정왕동) 1~4층,37.3526163839435,126.740978765063
평택세교점,경기,경기도 평택시 평택로 311 (세교동) 1~3층,37.0108684359465,127.072239569508
평택소사벌지구점,경기,경기도 평택시 평남로 862 (비전동) 1~3층,37.0004682235819,127.11150165951
동두천지행점,경기,경기도 동두천시 지행로 67 (지행동) 1~3층,37.8927018934254,127.054744025528
포천본점,경기,경기도 포천시 호국로 918 (설운동) 1~2층,37.8475082820606,127.161775868883
인천운서동점,인천,인천광역시 중구 영종대로 124 (운서동) 1~3층,37.4947572201185,126.493104006711
송도트리플스트리트점,인천,인천광역시 연수구 송도과학로16번길 33-4(송도동) D동 지하1층1층,37.3798178241708,126.661250200464
인천송도1호점,인천,"인천광역시 연수구 컨벤시아대로 55 (송도동, 송도이안) 1~2층",37.396611332624,126.651896915729
대전중리본점,대전,대전광역시 대덕구 한밭대로 1154 (중리동) 1~5층,36.3586488470096,127.426680990147
대전본점,대전,대전광역시 동구 동서대로1695번길 8 (용전동) 1~5층,36.3500708902354,127.43797922555
군산본점,전북,전북특별자치도 군산시 문화로 80 (수송동) 1~2층,35.9695300661083,126.714503158283
경산하양본점,경북,경상북도 경산시 하양읍 대경로 666 1~3층,35.907704746486,128.814017832184
경산영남대점,경북,경상북도 경산시 대학로 269 (대동) 1~4층,35.8362056482376,128.751804380588
칠곡왜관점,경북,경상북도 칠곡군 왜관읍 관문로 34 1층,35.9872265372424,128.398459538563
경산하양점,경북,경상북도 경산시 하양읍 하양로 69 1~2층,35.9115293209988,128.816072960784
이마트동구미점,경북,경상북도 구미시 이계북로 23 (임수동) 2층,36.106328307283,128.404177032859
대구산격유통단지점,대구,대구광역시 북구 유통단지로 60 (산격동) B2~1층,35.9062792349039,128.609661106553
대구중앙로점,대구,대구광역시 중구 중앙대로 403(남일동) 1~2층,35.8690730613163,128.593296913547
대구동성로본점,대구,대구광역시 중구 동성로 48-1 (동성로2가) B1~4층,35.8711113143473,128.595852198507
대구복현점,대구,대구광역시 북구 동북로 290 (복현동) 1~2층,35.8923656099558,128.621614261897
부산해운대마린시티점,부산,"부산광역시 해운대구 마린시티2로 38 (우동, 해운대아이파크) B4~2층",35.157037795554,129.143328681551
부산센텀시티점,부산,부산광역시 해운대구 센텀5로 55 (우동) 1~2층,35.1729576549741,129.13158500122
서면지하상가중앙몰점,부산,부산광역시 부산진구 가야대로 지하 777 (부전동) 서면지하상가 중앙몰 J-17호B1층,35.1575723846694,129.056107713345
부산해운대장산본점,부산,부산광역시 해운대구 해운대로 785 (좌동) 1~2층,35.1690152776534,129.174637560342
부산서면2호점,부산,부산광역시 부산진구 중앙대로 693 (부전동) 1~4층,35.1547841717047,129.058888110326
부산국제시장점,부산,부산광역시 중구 중구로 13 (부평동1가) 1층,35.0989802164928,129.027448338094
부산대점,부산,부산광역시 금정구 장전온천천로 55 (장전동) 1~4층,35.2298869444385,129.088908363779
부산남포점,부산,부산광역시 중구 구덕로 46 (남포동4가) 1~4층,35.0984642149107,129.030924661683
부산해운대점,부산,부산광역시 해운대구 구남로 11 (우동) 1~3층,35.1629620964909,129.159731527639
부산서면점,부산,부산광역시 부산진구 중앙대로702번길 43 (부전동) B1층,35.1556787355,129.061485081415
서귀포혁신도시점,제주,제주특별자치도 서귀포시 일주동로 9153 (법환동) B1~2층,33.2476645007288,126.514905694781
제주연동본점,제주,제주특별자치도 제주시 일주서로 7864 (연동) 1~2층,33.4935070425069,126.486790323496
제주함덕점,제주,제주특별자치도 제주시 조천읍 일주동로 1186 1~2층,33.5368388693223,126.667658372328
제주애월점,제주,제주특별자치도 제주시 애월읍 애원로 38 1~4층,33.4608564762545,126.320472435386
서귀포중문점,제주,제주특별자치도 서귀포시 일주서로 996 (색달동) 1~3층,33.258908011594,126.404480914504
제주시청점,제주,제주특별자치도 제주시 중앙로 213 (이도이동) 1~7층,33.5006307636064,126.529460110128
제주노형점,제주,제주특별자치도 제주시 1100로 3325 (노형동) 1~4층,33.4834509185512,126.4802473266
제주연동점,제주,제주특별자치도 제주시 신대로 105 (연동) B1~3층,33.4879334270823,126.496865932105
제주동문시장점,제주,제주특별자치도 제주시 관덕로 68 (일도일동) 1~4층,33.5128644912115,126.526511001839
