storeCode,storeName,address,latitude,longitude,distance,startTime,endTime,openYn,holidayYn,openYmd,salesCloseYmd,searchKeywords,storeImageUrl,smartReturnYn,salesStoreYn,remainQuantity,o2oRemainQuantity,pickupYn,payOperDt,statusCode,promotionYn,newOpenYn,oyHotPlaceYn,popupYn,clickCnt,businessPlaceShapeTypeCode,promotionInfo,couponInfo,skinScanYn,oliveBetterFlag
DDEC,명동점,서울특별시 중구 명동8길 14,37.5630515651421,126.984516197889,0.13,1000,2230,False,False,20230818,,,DDEC_1.jpg,True,False,0,0,False,,E,False,False,False,False,72,DA,,,False,False
DD6F,명동타임워크점,"서울특별시 중구 남대문로 78 타임워크명동 108호, 109호",37.5641849908728,126.983004582977,0.19,0930,2230,False,False,20221030,,,DD6F_1.jpg,True,False,0,0,False,,E,False,False,False,False,80,DA,,,False,False
DCC1,명동중앙점,서울특별시 중구 명동8나길 18 인송빌딩 1층 (충무로1가 22-4),37.5615670147305,126.98400288242,0.3,1000,2230,False,False,20210625,,,DCC1_1.jpg,True,False,0,0,False,,E,False,False,False,False,48,DA,,,False,False
DE93,명동역점,서울특별시 중구 퇴계로 115 밀리오레 1층,37.56105243357,126.984514234793,0.34,1030,2230,False,False,20240823,,,DE93_2024102971353051.jpg,True,False,0,0,False,,E,False,False,False,False,93,DA,,,False,False
D316,명동대로점,서울특별시 중구 퇴계로 120 1층,37.5606563,126.9850729,0.38,1000,2230,False,False,20150130,,,D316_202502520942011.png,True,False,0,0,True,,E,False,False,False,False,25,DA,,,False,False
D092,종각점,서울특별시 종로구 종로 61 1층,37.5704788,126.9841474,0.72,0900,2230,False,False,20100930,,,D092_1.jpg,True,False,0,0,True,,E,False,False,False,False,36,DA,,,False,False
DDC0,무교동점,서울특별시 중구 무교로 24 1층,37.5681041235107,126.979477972441,0.67,0800,2230,False,False,20230517,,,DDC0_1.jpg,True,False,0,0,False,,E,False,False,False,False,27,DA,,,False,False
DE03,종로점,서울특별시 종로구 종로 78 미려빌딩 1층 일부,37.5698795927378,126.986041334865,0.65,0900,2230,False,False,20230927,,,DE03_1.jpg,True,False,0,0,True,,E,False,False,False,False,44,DA,,,False,False
D138,종로YBM점,서울특별시 종로구 종로 104,37.569987,126.9887953,0.73,0800,2230,False,False,20120723,,,D138_2024113091329311.png,True,False,0,0,True,,E,False,False,False,False,26,DA,,,False,False
D033,시청역점,서울특별시 중구 세종대로16길 1 1층,37.5635794,126.9771326,0.71,0900,2230,False,False,20060614,,,D033_2025051271024011.png,True,False,0,0,False,,E,False,False,False,False,35,DA,,,False,False
DF9A,스타필드애비뉴그랑서울점,서울특별시 종로구 종로 33 스타필드애비뉴그랑서울             타워1 상업시설 B1층 B135호,37.5709617749066,126.981437983842,0.83,0800,2100,False,False,20251028,,,DF9A_2025103011628381.jpg,True,False,0,0,True,,E,False,False,False,False,23,DA,,,False,False
DF3B,덕수궁점,서울특별시 중구 세종대로 91,37.5645596033775,126.976563357262,0.76,0800,2230,False,False,20251113,,,DF3B_2025113171426341.jpeg,True,False,0,0,False,,E,False,False,False,False,17,DA,,,False,False
D171,종로1가점,서울특별시 종로구 종로 19 르미에르종로타운 1층,37.5704955,126.9798116,0.85,0800,2230,False,False,20121123,,,D171_1.jpg,True,False,0,0,False,,E,False,False,False,False,47,DA,,,False,False
D031,충무로역점,서울특별시 중구 퇴계로 222 구인빌딩 1층,37.5615367,126.9963685,1.03,0830,2200,False,False,20060526,,,D031_1.jpg,True,False,0,0,True,,E,False,False,False,False,22,DA,,,False,False
DFCF,올리브베러 광화문점,서울특별시 종로구 종로3길 17 D타워,37.5709958592808,126.978914477333,0.95,0800,2230,False,False,20260130,,올리브베러,DFCF_202601291134001.jpg,True,False,0,0,False,,E,False,False,False,False,79,DC,,,False,True
D094,세종로점,서울특별시 종로구 세종대로 161 1층,37.5707262,126.9762765,1.08,0800,2230,False,False,20101105,,,D094_1.jpg,True,False,0,0,False,,E,False,False,False,False,47,DA,,,False,False
DD1D,서울역점,서울특별시 중구 한강대로 405,37.556305,126.972153,1.44,0800,2200,False,False,20220325,,,DD1D_1.jpg,True,False,0,0,True,,E,False,False,False,False,50,DA,,,False,False
D107,제일제당센터점,서울특별시 중구 동호로 330 지하1층,37.5638758,127.0032711,1.6,0800,2100,False,False,20110610,,,D107_1.jpg,True,False,0,0,True,,E,False,False,False,False,17,DA,,,False,False
DDAA,플러스점,서울특별시 용산구 한강대로 372 KDB생명타워 B114~B115,37.5516794257654,126.972905059299,1.75,0800,2000,False,False,20230329,,,DDAA_1.jpg,True,False,0,0,True,,E,False,False,False,False,29,DA,,,False,False
DB67,트윈시티점,"서울특별시 용산구 한강대로 366 B1 109,110호",37.55108621021494,126.9729124035517,1.81,1000,2200,False,False,20171031,,,DB67_2024102852220331.jpg,True,False,0,0,True,,E,False,False,False,False,29,DA,,,False,False
DE02,경복궁역점,"서울특별시 종로구 자하문로 9 1,2층",37.5769157929272,126.972141061212,1.83,0900,2230,False,False,20240901,,,DE02_2024102851909081.jpg,True,False,0,0,False,,E,False,False,False,False,28,DA,,,False,False
D193,홍대대학로점,서울특별시 종로구 대학로 57 홍익대대학로캠퍼스 내 1층,37.5764834,127.0014454,1.99,1000,2200,False,False,20130228,,,D193_1.jpg,True,False,0,0,True,,E,False,False,False,False,33,E1,,,False,False
D295,동대문역사문화공원역점,서울특별시 중구 장충단로 251 1층,37.5672491,127.0080871,2.05,1000,2330,True,False,20140929,,,D295_2025041131051421.jpeg,True,False,0,0,True,,O,False,False,False,False,43,DA,,,False,False
DCC9,두타점,서울특별시 중구 장충단로 275 두산타워빌딩 지하 2층,37.5688849422849,127.008775114213,2.15,1030,0000,True,False,20210430,,,DCC9_202602592348091.jpg,True,False,0,0,True,,O,False,False,False,False,121,DA,,,True,False
DD48,대학로점,서울특별시 종로구 창경궁로 237 1~3층,37.5830695255938,126.998526731117,2.42,1000,2230,False,False,20220811,,,DD48_1.jpg,True,False,0,0,True,,E,False,False,False,False,45,DA,,,False,False
D181,혜화역점,서울특별시 종로구 대학로 122 흥사단회관 1층,37.5822383,127.0022389,2.52,1000,2230,False,False,20121218,,,D181_1.jpg,True,False,0,0,True,,E,False,False,False,False,25,DA,,,False,False
D383,대학로중앙점,서울특별시 종로구 대학로 144 1층,37.584031,127.0022037,2.68,1000,2300,True,False,20150831,,,D383_1.jpg,True,False,0,0,True,,O,False,False,False,False,41,DA,,,False,False
DB6D,아현역점,서울특별시 서대문구 신촌로35길 10 103호,37.5585455,126.9559633,2.65,1000,2230,False,False,20171122,,,DB6D_1.jpg,True,False,0,0,True,,E,False,False,False,False,17,DA,,,False,False
D544,신당역점,서울특별시 중구 다산로 258,37.5660144,127.0166837,2.79,0900,2230,False,False,20160729,,,D544_1.jpg,True,False,0,0,True,,E,False,False,False,False,14,DA,,,False,False
DDCA,신금호역점,서울특별시 성동구 무수막길 95,37.5542288938715,127.01981723778,3.24,1000,2230,False,False,20230528,,신금호역점,DDCA_1.jpg,True,False,0,0,True,,E,False,False,False,False,13,E1,,,False,False
D403,이태원입구점,서울특별시 용산구 이태원로 145,37.5345047,126.9899529,3.32,1100,2200,False,False,20151022,,,D403_1.jpg,True,False,0,0,True,,E,False,False,False,False,14,DA,,,False,False
DD5E,이태원중앙점,서울특별시 용산구 이태원로 179 해밀톤쇼핑센터 1층,37.5348143960679,126.993735204809,3.34,1100,2230,False,False,20220929,,,DD5E_1.jpg,True,False,0,0,True,,E,False,False,False,False,12,DA,,,False,False
